               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.028034,            0.039023,           0.0014931,             0.54356,               0.628,             0.57672,             0.38374,            0.029102,            0.048541,           0.0060736,           0.0073666,           0.0073666,           0.0073666
                 135,            0.028177,            0.041316,           0.0018518,              0.5512,             0.59751,             0.55118,              0.3686,            0.029623,            0.053703,            0.011744,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027946,            0.038146,           0.0016422,             0.52361,             0.65706,             0.56919,             0.38463,            0.028549,            0.050568,           0.0075575,            0.007327,            0.007327,            0.007327
                 137,            0.028526,            0.038153,           0.0016366,             0.52204,             0.64692,              0.5557,             0.36958,            0.028783,            0.050341,            0.007695,           0.0073072,           0.0073072,           0.0073072
                 138,             0.02902,            0.039076,           0.0014418,             0.54187,             0.62185,              0.5637,             0.37739,            0.028951,            0.051707,           0.0074807,           0.0072874,           0.0072874,           0.0072874
                 139,            0.028009,             0.03764,           0.0013817,             0.53724,             0.61795,             0.55741,             0.37536,            0.027952,            0.050495,            0.006771,           0.0072676,           0.0072676,           0.0072676
                 140,             0.02819,            0.040461,           0.0012164,              0.5886,             0.59128,             0.58885,              0.3952,            0.028546,            0.047679,           0.0056466,           0.0072478,           0.0072478,           0.0072478
                 141,            0.029138,            0.040821,           0.0012386,             0.54612,             0.60282,             0.55952,             0.37453,            0.029576,            0.051954,           0.0056058,            0.007228,            0.007228,            0.007228
                 142,            0.027562,            0.036369,           0.0012422,             0.53778,             0.63108,             0.57151,             0.38552,            0.027803,            0.048201,           0.0071328,           0.0072082,           0.0072082,           0.0072082
                 143,            0.027446,            0.035585,           0.0014113,             0.53925,             0.63304,             0.56691,             0.38205,            0.028555,            0.049755,             0.01027,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027748,            0.038634,           0.0011245,             0.54322,             0.63006,              0.5731,             0.38507,            0.028339,            0.050467,           0.0067927,           0.0071686,           0.0071686,           0.0071686
                 145,            0.028101,            0.036508,           0.0013018,             0.56973,             0.60031,             0.58524,             0.39241,            0.028997,            0.047861,           0.0071628,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027618,            0.037826,           0.0014208,             0.53853,             0.59107,             0.54298,             0.36156,            0.030006,            0.054857,           0.0082755,            0.007129,            0.007129,            0.007129
                 147,            0.027989,            0.037516,           0.0013629,             0.53707,             0.64674,             0.57637,             0.37933,             0.02904,            0.049483,            0.010569,           0.0071092,           0.0071092,           0.0071092
                 148,            0.028311,            0.038314,           0.0016155,             0.57959,             0.62422,             0.58138,             0.39201,            0.028138,            0.049273,           0.0069166,           0.0070894,           0.0070894,           0.0070894
                 149,            0.027423,            0.037329,           0.0011934,             0.54552,              0.6287,             0.57188,             0.38507,            0.028145,            0.050559,           0.0069453,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027897,            0.035135,           0.0013188,             0.55666,             0.58387,             0.56075,             0.38295,            0.028759,            0.050041,           0.0069502,           0.0070498,           0.0070498,           0.0070498
                 151,            0.027653,            0.038106,           0.0009999,             0.54408,             0.62872,             0.55653,             0.37306,            0.028449,            0.051298,           0.0058921,             0.00703,             0.00703,             0.00703
                 152,            0.028488,            0.037112,           0.0015426,             0.53646,             0.63619,             0.56966,             0.38601,             0.02849,            0.052152,           0.0073787,           0.0070102,           0.0070102,           0.0070102
                 153,            0.027069,            0.039329,          0.00098639,             0.57244,             0.58088,             0.55085,             0.37503,            0.028875,            0.056441,           0.0079594,           0.0069904,           0.0069904,           0.0069904
                 154,            0.027135,            0.034879,          0.00094392,             0.57382,             0.61433,             0.59703,             0.40615,            0.027834,            0.049436,           0.0068347,           0.0069706,           0.0069706,           0.0069706
                 155,            0.027097,            0.035606,           0.0010404,             0.56151,             0.58332,             0.55676,             0.37601,            0.028481,            0.053278,           0.0084471,           0.0069508,           0.0069508,           0.0069508
